driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
318,33,8,63.0,4,4,2,driver_standings.csv
319,33,9,72.0,3,3,1,driver_standings.csv
320,33,15,30.0,9,9,0,driver_standings.csv
321,33,17,21.0,10,10,0,driver_standings.csv
322,33,14,8.0,16,16,0,driver_standings.csv
323,33,18,3.0,18,18,0,driver_standings.csv
324,33,12,18.0,12,12,0,driver_standings.csv
325,33,21,0.0,19,19,0,driver_standings.csv
326,33,22,11.0,14,14,0,driver_standings.csv
327,33,19,0.0,22,22,0,driver_standings.csv
328,33,11,0.0,21,21,0,driver_standings.csv
329,33,13,79.0,2,2,5,driver_standings.csv
330,33,10,20.0,11,11,0,driver_standings.csv
331,33,16,0.0,20,20,0,driver_standings.csv
332,33,20,30.0,8,8,1,driver_standings.csv
3459,34,20,30.0,8,8,1,driver_standings.csv
3458,34,16,0.0,20,20,0,driver_standings.csv
3457,34,10,22.0,10,10,0,driver_standings.csv
3456,34,13,87.0,2,2,5,driver_standings.csv
3455,34,11,0.0,21,21,0,driver_standings.csv
3454,34,19,0.0,22,22,0,driver_standings.csv
3453,34,22,11.0,14,14,0,driver_standings.csv
3452,34,21,0.0,19,19,0,driver_standings.csv
3451,34,12,19.0,12,12,0,driver_standings.csv
3450,34,18,3.0,18,18,0,driver_standings.csv
3449,34,14,8.0,16,16,0,driver_standings.csv
3448,34,17,21.0,11,11,0,driver_standings.csv
3447,34,15,30.0,9,9,0,driver_standings.csv
3446,34,9,75.0,3,3,1,driver_standings.csv
3445,34,8,69.0,4,4,2,driver_standings.csv
3444,34,7,4.0,17,17,0,driver_standings.csv
3443,34,6,9.0,15,15,0,driver_standings.csv
3442,34,5,51.0,7,7,1,driver_standings.csv
3441,34,4,53.0,6,6,2,driver_standings.csv
3440,34,3,17.0,13,13,0,driver_standings.csv
3439,34,2,60.0,5,5,0,driver_standings.csv
3438,34,1,94.0,1,1,5,driver_standings.csv
355,35,1,98.0,1,1,5,driver_standings.csv
356,35,2,60.0,6,6,0,driver_standings.csv
357,35,3,17.0,13,13,0,driver_standings.csv
358,35,4,61.0,5,5,2,driver_standings.csv
359,35,5,53.0,7,7,1,driver_standings.csv
360,35,6,9.0,15,15,0,driver_standings.csv
361,35,7,4.0,17,17,0,driver_standings.csv
362,35,8,75.0,3,3,2,driver_standings.csv
363,35,9,75.0,4,4,1,driver_standings.csv
364,35,15,31.0,9,9,0,driver_standings.csv
365,35,17,21.0,11,11,0,driver_standings.csv
366,35,14,8.0,16,16,0,driver_standings.csv
367,35,18,3.0,18,18,0,driver_standings.csv
368,35,12,19.0,12,12,0,driver_standings.csv
369,35,21,0.0,19,19,0,driver_standings.csv
370,35,22,11.0,14,14,0,driver_standings.csv
371,35,19,0.0,22,22,0,driver_standings.csv
372,35,11,0.0,21,21,0,driver_standings.csv
373,35,13,97.0,2,2,6,driver_standings.csv
374,35,10,25.0,10,10,0,driver_standings.csv
375,35,16,0.0,20,20,0,driver_standings.csv
376,35,20,35.0,8,8,1,driver_standings.csv
13629,36,16,0.0,17,17,0,driver_standings.csv
13628,36,19,0.0,16,16,0,driver_standings.csv
13627,36,18,0.0,15,15,0,driver_standings.csv
13626,36,24,0.0,14,14,0,driver_standings.csv
13625,36,17,0.0,13,13,0,driver_standings.csv
13624,36,11,0.0,12,12,0,driver_standings.csv
13623,36,22,0.0,11,11,0,driver_standings.csv
13622,36,5,0.0,10,10,0,driver_standings.csv
13621,36,15,0.0,9,9,0,driver_standings.csv
13620,36,23,1.0,8,8,0,driver_standings.csv
13619,36,3,2.0,7,7,0,driver_standings.csv
13618,36,13,3.0,6,6,0,driver_standings.csv
13617,36,21,4.0,5,5,0,driver_standings.csv
13649,37,9,0.0,20,20,0,driver_standings.csv
13648,37,26,0.0,17,17,0,driver_standings.csv
13647,37,25,0.0,11,11,0,driver_standings.csv
13646,37,16,0.0,19,19,0,driver_standings.csv
13645,37,19,0.0,18,18,0,driver_standings.csv
13644,37,18,0.0,15,15,0,driver_standings.csv
13643,37,24,0.0,16,16,0,driver_standings.csv
13642,37,17,0.0,12,12,0,driver_standings.csv
13641,37,11,0.0,14,14,0,driver_standings.csv
13640,37,22,0.0,13,13,0,driver_standings.csv
13639,37,5,1.0,9,9,0,driver_standings.csv
13638,37,15,2.0,7,7,0,driver_standings.csv
13637,37,23,1.0,10,10,0,driver_standings.csv
13635,37,13,7.0,6,6,0,driver_standings.csv
13670,38,27,0.0,18,18,0,driver_standings.csv
13669,38,9,3.0,8,8,0,driver_standings.csv
13668,38,26,0.0,19,19,0,driver_standings.csv
13667,38,25,0.0,12,12,0,driver_standings.csv
13666,38,16,0.0,20,20,0,driver_standings.csv
13665,38,19,0.0,21,21,0,driver_standings.csv
13664,38,18,0.0,16,16,0,driver_standings.csv
13663,38,24,0.0,17,17,0,driver_standings.csv
13662,38,17,0.0,13,13,0,driver_standings.csv
13661,38,11,0.0,15,15,0,driver_standings.csv
13660,38,22,0.0,14,14,0,driver_standings.csv
13659,38,5,1.0,10,10,0,driver_standings.csv
